🇭🇰香港,#genre#

翡翠台,https://cdn.hklive.tv/hls/81/index.m3u8
J2台,https://cdn.hklive.tv/hls/82/index.m3u8
無綫新聞台,https://cdn.hklive.tv/hls/83/index.m3u8
明珠台,https://cdn.hklive.tv/hls/84/index.m3u8
無綫財經資訊台,https://cdn.hklive.tv/hls/85/index.m3u8

港台電視31,https://cdn.hklive.tv/hls/31/index.m3u8
港台電視32,https://cdn.hklive.tv/hls/32/index.m3u8
港台電視33,https://cdn.hklive.tv/hls/33/index.m3u8

香港開電視,https://cdn.hklive.tv/hls/77/index.m3u8
香港國際財經台,https://cdn.hklive.tv/hls/76/index.m3u8

ViuTV,https://cdn.hklive.tv/hls/99/index.m3u8
ViuTV Six,https://cdn.hklive.tv/hls/96/index.m3u8

有線新聞台,http://livetv.dnsfor.me:80/channel.5.m3u8
有線財經資訊台,http://livetv.dnsfor.me:80/channel.6.m3u8
有線直播新聞台,http://livetv.dnsfor.me:80/channel.7.m3u8
NOW 新聞台,http://livetv.dnsfor.me:80/channel.4.m3u8
NOW 財經台,http://livetv.dnsfor.me:80/channel.8.m3u8
開電視,http://livetv.dnsfor.me:80/channel.9.m3u8

🇭🇰电视匣,#genre#
翡翠台,https://tvfix.woodong.workers.dev/hls/jadehk.m3u8
J2,https://tvfix.woodong.workers.dev/hls/j2.m3u8
無綫新聞台,https://tvfix.woodong.workers.dev/hls/inews.m3u8
明珠台,https://tvfix.woodong.workers.dev/hls/pearl.m3u8
無綫財經資訊台,https://tvfix.woodong.workers.dev/hls/finance.m3u8
ViuTV,https://tvfix.woodong.workers.dev/hls/viutv.m3u8
RTHK31,https://tvfix.woodong.workers.dev/hls/rthk31.m3u8
RTHK32,https://tvfix.woodong.workers.dev/hls/rthk32.m3u8

🇭🇰其它,#genre#
黃金翡翠,https://tvfix.woodong.workers.dev/hls/jadegold.m3u8
娛樂新聞,https://tvfix.woodong.workers.dev/hls/enews.m3u8
TVB星河,https://tvfix.woodong.workers.dev/hls/tvbxh.m3u8
TVB經典,https://tvfix.woodong.workers.dev/hls/tvbjd.m3u8
TVB亞綜,https://tvfix.woodong.workers.dev/hls/tvbzy.m3u8
TVB亞劇,https://tvfix.woodong.workers.dev/hls/tvbyz.m3u8
TVB戲曲,https://tvfix.woodong.workers.dev/hls/tvbxq.m3u8
TVB功夫,https://tvfix.woodong.workers.dev/hls/tvbkf.m3u8
美亞電影,https://tvfix.woodong.workers.dev/hls/mydy.m3u8
天映經典,https://tvfix.woodong.workers.dev/hls/tyjd.m3u8
天映頻道,https://tvfix.woodong.workers.dev/hls/typd.m3u8
衛視電影,https://tvfix.woodong.workers.dev/hls/starmovies.m3u8

🇭🇰2聲,#genre#
J2(第2聲道),https://tvfix.woodong.workers.dev/hls/j22.m3u8
新聞(第2聲道),https://tvfix.woodong.workers.dev/hls/inews2.m3u8
明珠(第2聲道),https://tvfix.woodong.workers.dev/hls/pearl2.m3u8
財經(第2聲道),https://tvfix.woodong.workers.dev/hls/finance2.m3u8
ViuTV(第2聲道),https://tvfix.woodong.workers.dev/hls/viutv2.m3u8
天映經典(第2聲道),https://tvfix.woodong.workers.dev/hls/tyjd2.m3u8

🇭🇰海外,#genre#
翡翠海外,https://tvfix.woodong.workers.dev/hls/jadenhk.m3u8
財經海外,https://tvfix.woodong.workers.dev/hls/financenhk.m3u8




🇲🇴澳門,#genre#
澳視澳門,http://live3.tdm.com.mo:1935/ch1/ch1.live/playlist.m3u8 
澳視葡語,http://live3.tdm.com.mo:1935/ch2/ch2.live/playlist.m3u8 
澳視衛星,http://live3.tdm.com.mo:1935/ch3/ch3.live/playlist.m3u8 
澳視體育,http://live3.tdm.com.mo:1935/ch4/sport_ch4.live/playlist.m3u8 
澳視資訊,http://live3.tdm.com.mo:1935/ch5/info_ch5.live/playlist.m3u8 
澳視高清,http://live3.tdm.com.mo:1935/ch6/hd_ch6.live/playlist.m3u8

🇨🇳衛視,#genre#

湖南衛視,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8
湖南衛視,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
湖南衛視,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
湖南衛視,http://117.148.179.37/PLTV/88888888/224/3221228824/index.m3u8
江蘇衛視,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
江蘇衛視,http://117.148.179.37/PLTV/88888888/224/3221228821/index.m3u8
浙江衛視,http://117.148.179.24/PLTV/88888888/224/3221230035/index.m3u8
浙江衛視,http://117.148.179.140/PLTV/88888888/224/3221229352/index.m3u8
浙江衛視,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8
浙江衛視,http://117.148.179.37/PLTV/88888888/224/3221228837/index.m3u8
東方衛視,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
